Common Name,Scientific Name,Museum Counts,Citizen Science Counts
NoCommonName,Catocala obscura,NaN,6
NoCommonName,Catocala palaeogama,2,9
NoCommonName,Catocala piatrix,6,14
NoCommonName,Catocala praeclara,0,2
NoCommonName,Catocala pretiosa,1,2
NoCommonName,Catocala residua,4,11
NoCommonName,Apantesis phalerata,6,45
NoCommonName,Catocala retecta,0,7
NoCommonName,Catocala robinsonii,13,16
NoCommonName,Catocala sappho,0,1
NoCommonName,Catocala serena,NaN,1
NoCommonName,Paonias myops,2,17
NoCommonName,Catocala similis,1,4
NoCommonName,Amorpha juglandis,5,22
NoCommonName,Catocala sordida,0,3
NoCommonName,Catocala subnata,0,3
NoCommonName,Catocala ulalume,2,3
NoCommonName,Catocala ultronia,1,36
NoCommonName,Catocala umbrosa,8,5
NoCommonName,Catocala unidentified species,NaN,2
NoCommonName,Clostera inclusa,0,14
NoCommonName,Catocala unijuga,NaN,1
NoCommonName,Catocala vidua,9,37
NoCommonName,Datana drexelii,NaN,28
NoCommonName,Catoptria latiradiellus,NaN,1
Spring Azure,Celastrina Ladon,7,1193
Summer Azure,Celastrina Neglecta,4,4108
Appalachian Azure,Celastrina Neglectamajor,0,112
Dusky Azure,Celastrina Nigra,NaN,40
NoCommonName,Celiptera frustulum,1,19
NoCommonName,Celypha cespitana,0,3
NoCommonName,Cenopis diluticostana,NaN,2
NoCommonName,Idia americalis,5,102
NoCommonName,Cenopis reticulatana,0,14
NoCommonName,Cenopis saracana,NaN,5
NoCommonName,Cerastis tenebrifera,1,21
NoCommonName,Ceratomia amyntor,NaN,14
NoCommonName,Furcula cinerea,1,5
NoCommonName,Symmerista albifrons,0,46
NoCommonName,Ceratomia catalpae,NaN,15
NoCommonName,Dasylophia anguina,NaN,25
NoCommonName,Dasylophia thyatiroides,NaN,9
NoCommonName,Ceratomia undulosa,1,22
Common Wood-Nymph,Cercyonis Pegala,16,1515
NoCommonName,Heterocampa obliqua,1,65
NoCommonName,Cerma cerintha,1,19
NoCommonName,Chaetaglaea rhonda,NaN,3
NoCommonName,Chaetaglaea sericea,NaN,24
NoCommonName,Chalcoela iphitalis,NaN,10
NoCommonName,Chalcoela pegasalis,NaN,4
NoCommonName,Charadra deridens,9,43
NoCommonName,Chilo demotella,NaN,1
NoCommonName,Chimoptesis gerulae,0,21
NoCommonName,Chimoptesis pennsylvaniana,0,9
NoCommonName,Chimoptesis unidentified species,NaN,4
NoCommonName,Chionodes discoocellella,0,1
NoCommonName,Chionodes mediofuscella,4,23
NoCommonName,Chionodes thoraceochrella,0,4
