Common Name,Scientific Name,Museum Counts,Citizen Science Counts
NoCommonName,Datana drexelii,0,28
NoCommonName,Catoptria latiradiellus,0,1
Spring Azure,Celastrina Ladon,7,1193
Summer Azure,Celastrina Neglecta,4,4108
Appalachian Azure,Celastrina Neglectamajor,0,112
Dusky Azure,Celastrina Nigra,0,40
NoCommonName,Celiptera frustulum,1,19
NoCommonName,Celypha cespitana,0,3
NoCommonName,Cenopis diluticostana,0,2
NoCommonName,Idia americalis,5,102
NoCommonName,Cenopis reticulatana,0,14
NoCommonName,Cenopis saracana,0,5
NoCommonName,Cerastis tenebrifera,1,21
NoCommonName,Ceratomia amyntor,0,14
NoCommonName,Furcula cinerea,1,5
NoCommonName,Symmerista albifrons,0,46
NoCommonName,Ceratomia catalpae,0,15
NoCommonName,Dasylophia anguina,0,25
NoCommonName,Dasylophia thyatiroides,0,9
NoCommonName,Ceratomia undulosa,1,22
Common WoodNymph,Cercyonis Pegala,16,1515
NoCommonName,Heterocampa obliqua,1,65
NoCommonName,Cerma cerintha,1,19
NoCommonName,Chaetaglaea rhonda,0,3
NoCommonName,Chaetaglaea sericea,0,24
NoCommonName,Chalcoela iphitalis,0,10
NoCommonName,Chalcoela pegasalis,0,4
NoCommonName,Charadra deridens,9,43
NoCommonName,Chilo demotella,0,1
NoCommonName,Chimoptesis gerulae,0,21
NoCommonName,Chimoptesis pennsylvaniana,0,9
NoCommonName,Chimoptesis unidentified species,0,4
NoCommonName,Chionodes discoocellella,0,1
NoCommonName,Chionodes mediofuscella,4,23
NoCommonName,Chionodes thoraceochrella,0,4
NoCommonName,Chionodes unidentified species,0,9
NoCommonName,Chloridea subflexa,0,1
NoCommonName,Chloridea unidentified species,0,1
NoCommonName,Chloridea virescens,0,17
NoCommonName,Chlorochlamys chloroleucaria,2,19
NoCommonName,Chloropteryx tepperaria,0,23
Gorgone Checkerspot,Chlosyne Gorgone,0,9
Silvery Checkerspot,Chlosyne Nycteis,0,1074
NoCommonName,Choephora fungorum,0,32
NoCommonName,Choristoneura conflictana,0,1
NoCommonName,Choristoneura fractivittana,0,6
NoCommonName,Choristoneura fumiferana,0,1
NoCommonName,Choristoneura obsoletana,0,6
NoCommonName,Choristoneura parallela,0,2
NoCommonName,Choristoneura pinus,0,1
NoCommonName,Choristoneura rosaceana,2,33
NoCommonName,Choristoneura unidentified species,0,2
NoCommonName,Chrysanympha formosa,0,2
NoCommonName,Chrysendeton medicinalis,0,5
NoCommonName,Chrysodeixis includens,0,36
NoCommonName,Chytolita morbidalis,0,36
NoCommonName,Chytolita petrealis,0,17
NoCommonName,Chytonix palliatricula,0,63
NoCommonName,Chytonix sensilis,0,4
NoCommonName,Cicinnus melsheimeri,0,2
NoCommonName,Cirrhophanus triangulifer,0,11
NoCommonName,Cisseps fulvicollis,4,22
NoCommonName,Cissusa spadix,0,22
NoCommonName,Cisthene kentuckiensis,0,4
NoCommonName,Cisthene packardii,1,19
NoCommonName,Cisthene plumbea,1,49
NoCommonName,Cisthene subjecta,0,8
NoCommonName,Cisthene tenuifascia,0,6
NoCommonName,Citheronia sepulcralis,1,15
NoCommonName,Clemensia albata,0,66
NoCommonName,Cleora sublunaria,0,20
NoCommonName,Clepsis peritana,1,35
NoCommonName,Clepsis unidentified species,0,1
NoCommonName,Clepsis virescana,0,12
NoCommonName,Clydonopteron sacculana,1,16
NoCommonName,Cochylis nana,0,1
NoCommonName,Cochylis unidentified species,0,1
NoCommonName,Coelostathma discopunctana,0,17
NoCommonName,Coleophora albovanescens,0,1
NoCommonName,Coleophora mayrella,0,1
NoCommonName,Coleophora octagonella,0,3
NoCommonName,Coleophora ostryae,0,3
NoCommonName,Coleophora trifolii,0,1
NoCommonName,Coleophora unidentified species,0,8
NoCommonName,Coleotechnites albicostata,0,4
NoCommonName,Coleotechnites chilcotti,0,1
NoCommonName,Coleotechnites quercivorella,0,8
NoCommonName,Coleotechnites unidentified species,0,2
Orange Sulphur,Colias Eurytheme,15,4086
Clouded Sulphur,Colias Philodice,10,1679
NoCommonName,Colobochyla interpuncta,0,17
NoCommonName,Colocasia flavicornis,0,22
NoCommonName,Colocasia propinquilinea,0,8
NoCommonName,Colomychus talis,0,1
NoCommonName,Comachara cadburyi,0,8
NoCommonName,Conchylodes ovulalis,0,10
NoCommonName,Condica confederata,0,6
NoCommonName,Condica cupentia,0,4
NoCommonName,Condica mobilis,0,11
NoCommonName,Condica sutor,1,20
NoCommonName,Condica vecors,0,30
NoCommonName,Condica videns,1,32
NoCommonName,Condylolomia participalis,3,8
NoCommonName,Condylorrhiza vestigialis,0,2
Southern Skipperling,Copaeodes Minima,0,519
NoCommonName,Copivaleria grotei,0,18
NoCommonName,Coptodisca ostryaefoliella,0,3
NoCommonName,Coptodisca saliciella,0,2
NoCommonName,Coptotriche citrinipennella,0,6
NoCommonName,Coptotriche unidentified species,0,1
NoCommonName,Corticivora parva,0,5
NoCommonName,Coryphista meadii,0,2
NoCommonName,Cosmia calami,0,23
NoCommonName,Cosmopterix clemensella,0,1
NoCommonName,Cossula magnifica,0,14
NoCommonName,Crambidia lithosioides,0,5
NoCommonName,Crambidia pallida,0,6
NoCommonName,Crambidia uniformis,9,62
NoCommonName,Crambidia xanthocorpa,0,10
NoCommonName,Crambodes talidiformis,0,1
NoCommonName,Crambus agitatellus,4,18
NoCommonName,Crambus albellus,0,2
NoCommonName,Crambus laqueatellus,0,5
NoCommonName,Crambus leachellus,0,1
NoCommonName,Crambus praefectellus,0,11
NoCommonName,Crambus satrapellus,0,1
NoCommonName,Crocidophora pustuliferalis,0,2
NoCommonName,Crocidophora serratissimalis,0,4
NoCommonName,Crocidophora tuberculalis,0,5
NoCommonName,Crocidosema unica,0,1
NoCommonName,Crocigrapha normani,0,12
NoCommonName,Cryptothelea gloverii,0,1
NoCommonName,Cryptothelea unidentified species,0,2
NoCommonName,Ctenoplusia oxygramma,0,24
NoCommonName,Cucullia alfarata,0,2
NoCommonName,Cucullia asteroides,0,1
NoCommonName,Cucullia convexipennis,0,5
Eastern TailedBlue,Cupido Comyntas,8,6498
NoCommonName,Cutina albopunctella,0,1
